idx,weight,value,ratio
0,8,242.16,30.2700
1,42,341.52,8.1314
2,61,349.01,5.7215
3,92,193.44,2.1026
4,38,418.31,11.0082
5,83,269.24,3.2439
6,66,226.64,3.4339
7,30,328.62,10.9540
8,79,111.59,1.4125
9,99,352.25,3.5581
10,74,233.54,3.1559
11,38,205.79,5.4155
12,89,255.43,2.8700
13,59,116.09,1.9676
14,44,105.97,2.4084
15,9,413.32,45.9244
16,97,362.06,3.7326
17,64,139.64,2.1819
18,91,294.64,3.2378
19,99,187.14,1.8903
5180,51,301.07,5.9033
10340,51,215.86,4.2325
15500,93,178.38,1.9181
20660,86,197.49,2.2964
25820,16,367.15,22.9469
30980,66,415.91,6.3017
36140,26,239.31,9.2042
41300,42,104.78,2.4948
46460,86,201.01,2.3373
51620,15,187.41,12.4940
56780,70,381.94,5.4563
61940,100,327.53,3.2753
67100,67,307.60,4.5910
72260,30,240.12,8.0040
77420,84,210.09,2.5011
82580,17,346.69,20.3935
87740,41,372.69,9.0900
92900,92,136.93,1.4884
98060,12,146.82,12.2350
103220,31,134.74,4.3465
108380,47,245.86,5.2311
113540,63,259.90,4.1254
118700,82,123.64,1.5078
123860,32,155.69,4.8653
129020,34,268.25,7.8897
134180,61,171.94,2.8187
139340,3,235.92,78.6400
144500,59,382.01,6.4747
149660,72,289.45,4.0201
154820,49,255.10,5.2061
159980,69,415.16,6.0168
159981,70,310.40,4.4343
159982,79,126.78,1.6048
159983,29,409.17,14.1093
159984,6,198.99,33.1650
159985,29,121.16,4.1779
159986,68,350.52,5.1547
159987,66,354.61,5.3729
159988,85,390.96,4.5995
159989,57,137.16,2.4063
159990,9,208.29,23.1433
159991,75,190.36,2.5381
159992,69,235.84,3.4180
159993,41,332.52,8.1102
159994,54,115.04,2.1304
159995,32,305.06,9.5331
159996,38,315.58,8.3047
159997,83,345.92,4.1677
159998,6,169.75,28.2917
159999,1,291.73,291.7300
