idx,value
0,5130
1,6437
2,622
3,2166
4,3152
5,9808
6,4600
7,4745
8,1803
9,4310
10,4279
11,3771
12,6789
13,549
14,6572
15,6812
16,6881
17,9095
18,1507
19,4986
20,3648
21,1932
22,1315
23,9565
24,8527
25,1542
26,4536
27,770
28,3284
29,7883
30,7923
31,662
32,8665
33,2886
34,2303
35,2374
36,9448
37,895
38,1799
39,8917
40,1768
41,364
42,5767
43,5694
44,4310
45,2472
46,9649
47,7802
48,7111
49,276
50,1329
51,9923
52,9373
53,6203
54,6866
55,1130
56,4056
57,8298
58,1122
59,7943
60,8960
61,3007
62,1171
63,1359
64,352
65,3056
66,612
67,1018
68,8868
69,1328
70,1584
71,5157
72,7751
73,2319
74,7701
75,9526
76,1270
77,6111
78,7480
79,7135
80,201
81,3678
82,7446
83,3700
84,9411
85,6112
86,1294
87,4672
88,1047
89,2332
90,4270
91,9157
92,702
93,9371
94,3003
95,3234
96,4326
97,4876
98,5493
99,4762
